feature,coefficient
female,1.99
Mrs.,1.07
Cherbourg,0.36
Miss,0.33
VIP,0.16
Queenstown,-0.11
Siblings and Spouses,-0.26
"Age (20, 28]",-0.4
"Age (28, 38]",-0.41
"Age (38, 80]",-0.95
Cabin Class 2,-0.98
Cabin Class 3,-2.08
